Id,SalePrice
1461,117500
1462,164900
1463,173000
1464,192000
1465,212000
1466,170000
1467,173000
1468,178900
1469,113000
1470,80000
1471,151000
1472,118000
1473,88000
1474,148500
1475,99500
1476,224500
1477,233170
1478,221500
1479,320000
1480,386250
1481,305000
1482,202500
1483,172785
1484,160200
1485,180000
1486,165400
1487,333168
1488,230000
1489,187750
1490,260000
1491,195000
1492,100000
1493,172500
1494,290000
1495,310000
1496,127500
1497,146000
1498,144152
1499,147400
1500,160000
1501,168500
1502,147400
1503,394432
1504,262500
1505,262500
1506,140000
1507,162000
1508,179900
1509,154000
1510,113000
1511,142000
1512,175000
1513,158000
1514,83000
1515,205000
1516,181000
1517,111000
1518,110000
1519,244000
1520,148000
1521,114500
1522,167000
1523,55993
1524,120000
1525,128900
1526,83000
1527,124000
1528,105000
1529,162000
1530,140000
1531,140000
1532,85000
1533,103000
1534,119000
1535,119000
1536,79900
1537,67000
1538,102776
1539,110000
1540,117500
1541,110000
1542,68400
1543,58500
1544,110000
1545,105000
1546,120000
1547,105000
1548,120000
1549,105000
1550,67000
1551,55993
1552,82000
1553,104900
1554,86000
1555,136500
1556,140000
1557,140000
1558,84500
1559,90000
1560,136500
1561,130000
1562,62383
1563,108959
1564,154000
1565,124000
1566,55000
1567,160000
1568,113000
1569,156000
1570,79000
1571,90350
1572,394432
1573,135000
1574,124500
1575,201000
1576,186000
1577,105000
1578,145000
1579,162900
1580,154000
1581,112500
1582,297000
1583,233000
1584,140000
1585,64500
1586,136500
1587,60000
1588,107000
1589,76500
1590,58500
1591,60000
1592,91000
1593,127500
1594,145000
1595,160000
1596,130000
1597,189000
1598,128000
1599,79900
1600,55993
1601,235000
1602,201000
1603,82500
1604,124000
1605,185000
1606,135000
1607,132000
1608,134000
1609,201000
1610,134900
1611,88000
1612,80000
1613,80000
1614,127000
1615,130500
1616,128200
1617,76500
1618,78000
1619,118400
1620,210000
1621,165000
1622,62383
1623,95000
1624,181000
1625,212000
1626,168500
1627,236500
1628,143000
1629,251000
1630,180000
1631,175000
1632,130500
1633,176000
1634,160000
1635,179900
1636,82500
1637,187500
1638,180000
1639,216000
1640,185000
1641,172500
1642,130500
1643,143000
1644,140000
1645,174900
1646,155000
1647,120500
1648,97000
1649,83000
1650,118000
1651,148500
1652,148500
1653,146000
1654,155000
1655,146000
1656,119500
1657,129000
1658,271000
1659,202900
1660,297000
1661,611657
1662,191000
1663,319000
1664,135000
1665,297000
1666,202500
1667,402861
1668,185850
1669,206300
1670,309000
1671,221500
1672,185850
1673,196000
1674,185850
1675,184750
1676,315000
1677,318061
1678,254000
1679,285000
1680,160200
1681,178000
1682,174000
1683,160200
1684,163900
1685,183500
1686,183500
1687,192000
1688,162000
1689,184100
1690,180000
1691,192000
1692,180000
1693,214000
1694,180000
1695,250000
1696,466500
1697,255000
1698,290000
1699,232000
1700,232000
1701,147000
1702,232000
1703,385000
1704,250580
1705,187750
1706,174000
1707,185000
1708,226000
1709,240000
1710,310000
1711,173000
1712,216000
1713,145000
1714,142500
1715,52000
1716,195000
1717,147000
1718,142500
1719,144000
1720,155000
1721,244600
1722,233000
1723,175900
1724,153900
1725,117000
1726,177500
1727,115000
1728,129900
1729,129000
1730,135500
1731,136500
1732,62383
1733,128000
1734,239000
1735,122500
1736,146000
1737,121500
1738,168500
1739,183900
1740,162500
1741,95000
1742,130000
1743,190000
1744,250000
1745,172000
